City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Kununurra,AU,2022-07-25 18:09:59,-15.7667,128.7333,53.58,82,1,3.44
156,Chimbote,PE,2022-07-25 18:14:07,-9.0853,-78.5783,67.21,75,79,10.94
157,Inta,RU,2022-07-25 18:14:07,66.0317,60.1659,49.37,84,93,16.6
158,Luancheng,CN,2022-07-25 18:14:07,37.8792,114.6517,71.83,90,91,1.63
159,Cherskiy,RU,2022-07-25 18:14:08,68.75,161.3,44.42,59,5,8.01
160,Sibu,MY,2022-07-25 18:14:08,2.3,111.8167,73.62,99,100,1.59
161,Victoria,HK,2022-07-25 18:14:09,22.2855,114.1577,88.18,81,14,8.01
162,Mangrol,IN,2022-07-25 18:14:09,21.1167,70.1167,82.0,81,97,18.5
163,Pacific Grove,US,2022-07-25 18:14:10,36.6177,-121.9166,64.81,89,75,6.91
164,Mpika,ZM,2022-07-25 18:14:10,-11.8343,31.4529,58.33,58,39,5.35
165,Usinsk,RU,2022-07-25 18:14:11,65.9939,57.5281,49.96,81,97,19.24
166,Kahului,US,2022-07-25 18:10:46,20.8947,-156.47,80.62,70,0,14.97
167,Lorengau,PG,2022-07-25 18:14:12,-2.0226,147.2712,80.98,80,65,7.05
168,Khandbari,NP,2022-07-25 18:14:13,27.3747,87.2039,72.18,94,72,0.4
169,Havre-Saint-Pierre,CA,2022-07-25 18:14:13,50.2334,-63.5986,66.56,94,100,2.3
170,Lagunas,PE,2022-07-25 18:14:14,-5.2269,-75.6753,89.96,50,28,3.44
171,Tanete,ID,2022-07-25 18:14:15,-3.9443,119.7848,72.63,89,59,4.41
172,Ibotirama,BR,2022-07-25 18:11:10,-12.1853,-43.2206,89.76,21,73,6.26
173,Flinders,AU,2022-07-25 18:14:16,-34.5833,150.8552,54.37,90,88,4.0
174,Grindavik,IS,2022-07-25 18:14:16,63.8424,-22.4338,52.27,76,75,8.05
175,Acapulco,MX,2022-07-25 18:14:17,16.8634,-99.8901,89.42,45,75,2.3
176,Nizhniy Baskunchak,RU,2022-07-25 18:14:18,48.2198,46.8311,75.63,49,88,4.56
177,Sola,VU,2022-07-25 18:14:18,-13.8833,167.55,80.06,77,10,11.03
178,Quesnel,CA,2022-07-25 18:12:40,52.9999,-122.5029,72.1,60,100,2.3
179,Aden,YE,2022-07-25 18:15:19,12.7794,45.0367,85.19,70,100,12.21
180,East London,ZA,2022-07-25 18:12:11,-33.0153,27.9116,50.94,87,0,4.61
181,Anbu,CN,2022-07-25 18:15:19,23.449,116.6809,83.08,83,42,4.32
182,Westport,US,2022-07-25 18:15:20,41.1415,-73.3579,81.95,83,75,13.8
183,Sioux Lookout,CA,2022-07-25 18:15:21,50.1001,-91.917,69.87,46,40,12.66
184,Okhotsk,RU,2022-07-25 18:13:16,59.3833,143.3,54.07,89,92,3.83
185,Tezu,IN,2022-07-25 18:15:22,27.9167,96.1667,75.74,99,64,1.36
186,Kalmunai,LK,2022-07-25 18:15:23,7.4167,81.8167,80.53,80,97,5.08
187,Le Vauclin,MQ,2022-07-25 18:15:23,14.5452,-60.8388,84.85,89,75,10.36
188,Kendallville,US,2022-07-25 18:14:56,41.4414,-85.265,77.5,60,40,4.61
189,Chaman,PK,2022-07-25 18:15:24,30.9236,66.4512,83.84,49,87,7.05
190,Bilibino,RU,2022-07-25 18:15:24,68.0546,166.4372,43.2,71,71,4.92
191,Monte Patria,CL,2022-07-25 18:15:25,-30.6919,-70.9467,61.88,60,81,4.5
192,Iqaluit,CA,2022-07-25 18:15:26,63.7506,-68.5145,46.13,93,100,10.36
193,Yanam,IN,2022-07-25 18:15:26,16.7333,82.2167,78.85,90,100,3.22
194,Hovd,MN,2022-07-25 18:11:43,48.0056,91.6419,58.14,56,89,3.89
195,Salinas,US,2022-07-25 18:15:27,36.6777,-121.6555,65.01,69,75,6.91
196,Arlit,NE,2022-07-25 18:15:28,18.7369,7.3853,106.18,10,10,10.07
197,Rocha,UY,2022-07-25 18:15:27,-34.4833,-54.3333,64.72,88,100,9.71
198,San Blas,MX,2022-07-25 18:15:29,21.5167,-105.2667,93.09,63,99,7.38
199,Broome,US,2022-07-25 18:15:29,42.2506,-75.833,84.36,70,75,13.8
200,Narsaq,GL,2022-07-25 18:15:29,60.9167,-46.05,57.42,85,100,5.06
201,Rock Springs,US,2022-07-25 18:15:30,41.5875,-109.2029,85.23,26,0,6.91
202,Urumqi,CN,2022-07-25 18:15:30,43.801,87.6005,79.75,32,0,6.71
203,Nushki,PK,2022-07-25 18:15:31,29.5542,66.0215,87.17,43,100,11.25
204,Xining,CN,2022-07-25 18:15:32,36.6167,101.7667,60.75,47,0,3.38
205,Geraldton,AU,2022-07-25 18:15:32,-28.7667,114.6,41.41,93,35,9.22
206,Opuwo,NA,2022-07-25 18:15:33,-18.0607,13.84,69.53,26,9,5.99
207,Plyussa,RU,2022-07-25 18:15:33,58.4308,29.3654,64.36,71,37,4.29
208,Sur,OM,2022-07-25 18:13:56,22.5667,59.5289,87.03,68,100,7.49
209,Blackwater,AU,2022-07-25 18:15:34,-23.5833,148.8833,55.94,91,0,4.65
210,Oregon City,US,2022-07-25 18:14:11,45.3573,-122.6068,86.58,53,0,4.0
211,Porto Novo,BJ,2022-07-25 18:14:01,6.4965,2.6036,77.31,79,99,9.73
212,Thompson,CA,2022-07-25 18:13:58,55.7435,-97.8558,60.96,82,100,4.61
213,Souillac,MU,2022-07-25 18:13:41,-20.5167,57.5167,68.38,88,40,10.36
214,Bengkulu,ID,2022-07-25 18:14:11,-3.8004,102.2655,72.07,87,100,3.47
215,Muscle Shoals,US,2022-07-25 18:11:39,34.7448,-87.6675,92.84,63,20,5.75
216,Mahibadhoo,MV,2022-07-25 18:15:36,3.7833,72.9667,80.78,79,87,12.33
217,Salamanca,ES,2022-07-25 18:11:35,40.8333,-6.0,90.63,24,1,12.97
218,Sobolevo,RU,2022-07-25 18:15:37,54.4299,31.8996,60.31,93,42,6.89
219,Nador,MA,2022-07-25 18:15:35,35.174,-2.9287,96.87,25,0,3.44
220,Port Hedland,AU,2022-07-25 18:15:38,-20.3167,118.5667,60.85,44,0,11.5
221,Bastrop,US,2022-07-25 18:10:40,32.7562,-91.8724,95.7,38,39,3.18
222,Nassau,US,2022-07-25 18:15:39,40.7507,-73.5829,85.69,74,0,9.22
223,Oroville,US,2022-07-25 18:15:39,39.5138,-121.5564,96.12,36,0,0.0
224,Lompoc,US,2022-07-25 18:13:51,34.6391,-120.4579,80.02,77,75,8.05
225,Bredasdorp,ZA,2022-07-25 18:15:40,-34.5322,20.0403,50.7,84,0,4.92
226,Grand Gaube,MU,2022-07-25 18:15:41,-20.0064,57.6608,68.4,74,58,15.32
227,Redmond,US,2022-07-25 18:12:18,47.674,-122.1215,82.81,63,39,5.01
228,Tsaratanana,MG,2022-07-25 18:16:42,-16.7833,47.65,65.5,65,23,7.25
229,Fuzhou,CN,2022-07-25 18:16:42,26.0614,119.3061,80.49,94,75,0.65
230,Port-Gentil,GA,2022-07-25 18:16:43,-0.7193,8.7815,75.16,83,100,11.5
231,San Patricio,US,2022-07-25 18:16:43,28.017,-97.5169,97.16,42,1,15.73
232,Guanica,PR,2022-07-25 18:16:43,17.9716,-66.908,91.13,77,25,21.99
233,Mayo,US,2022-07-25 18:16:44,38.8876,-76.5119,93.31,72,99,1.01
234,Sao Lourenco Do Sul,BR,2022-07-25 18:16:44,-31.3653,-51.9783,60.6,95,87,7.72
235,Taiobeiras,BR,2022-07-25 18:13:53,-15.8078,-42.2331,77.38,34,72,10.42
236,Moron,AR,2022-07-25 18:16:45,-34.6534,-58.6198,60.96,99,100,11.5
237,Lagoa,PT,2022-07-25 18:12:34,39.05,-27.9833,75.27,82,4,8.66
238,Ayna,PE,2022-07-25 18:16:46,-12.65,-73.9167,70.59,64,79,3.94
239,Ilebo,CD,2022-07-25 18:16:46,-4.3167,20.5833,83.17,42,94,0.72
240,Avarua,CK,2022-07-25 18:15:21,-21.2078,-159.775,66.25,77,75,4.61
241,Touros,BR,2022-07-25 18:16:47,-5.1989,-35.4608,81.1,65,84,18.52
242,Mildura,AU,2022-07-25 18:16:47,-34.2,142.15,43.07,90,5,13.8
243,Jizan,SA,2022-07-25 18:16:48,17.3333,42.6667,88.74,51,97,11.65
244,Gladstone,AU,2022-07-25 18:16:48,-23.85,151.25,53.53,94,0,5.75
245,Hambantota,LK,2022-07-25 18:16:49,6.1241,81.1185,78.89,86,100,9.37
246,Kwekwe,ZW,2022-07-25 18:16:49,-18.9281,29.8149,62.73,51,4,9.82
247,Hobyo,SO,2022-07-25 18:16:50,5.3505,48.5268,76.35,82,27,26.6
248,Savannah Bight,HN,2022-07-25 18:16:50,16.45,-85.85,82.49,74,53,11.5
249,Ponta Do Sol,PT,2022-07-25 18:16:51,32.6667,-17.1,86.63,51,91,5.55
250,Muri,IN,2022-07-25 18:16:51,23.3667,85.8667,78.35,91,89,4.63
251,Seoul,KR,2022-07-25 18:16:52,37.5683,126.9778,74.64,100,0,1.14
252,Taoudenni,ML,2022-07-25 18:16:52,22.6783,-3.9836,110.17,6,37,13.4
253,Soyo,AO,2022-07-25 18:16:53,-6.1349,12.3689,71.11,88,24,6.98
254,Abu Samrah,SY,2022-07-25 18:16:53,35.3029,37.1841,85.5,20,0,10.31
255,Jibuti,DJ,2022-07-25 18:16:53,11.5,42.5,93.02,34,94,4.23
256,Trairi,BR,2022-07-25 18:14:04,-3.2778,-39.2689,85.32,51,73,14.9
257,Severo-Kurilsk,RU,2022-07-25 18:16:54,50.6789,156.125,50.56,94,100,9.31
258,Dawei,MM,2022-07-25 18:16:55,14.0833,98.2,78.21,91,68,2.55
259,Kabanjahe,ID,2022-07-25 18:16:55,3.1001,98.4908,62.26,99,100,4.25
260,Shimoda,JP,2022-07-25 18:16:55,34.6667,138.95,78.1,93,100,8.66
261,Kandrian,PG,2022-07-25 18:16:56,-6.2167,149.55,77.41,91,77,8.12
262,Vardo,NO,2022-07-25 18:16:56,70.3705,31.1107,53.58,87,0,5.75
263,Onega,RU,2022-07-25 18:16:57,63.9061,38.1404,58.75,82,80,4.03
264,Puerto Cabezas,NI,2022-07-25 18:16:57,14.0351,-83.3888,84.16,74,40,4.61
265,Palmer,US,2022-07-25 18:14:17,42.1584,-72.3287,84.24,67,75,13.8
266,Luwuk,ID,2022-07-25 18:16:58,-0.9516,122.7875,75.87,86,82,5.1
267,Komsomolskiy,UZ,2022-07-25 18:16:59,40.4272,71.7189,88.52,25,0,2.3
268,Cervo,ES,2022-07-25 18:16:59,43.6702,-7.4101,65.79,78,18,5.86
269,Lebu,CL,2022-07-25 18:13:54,-37.6167,-73.65,54.45,83,100,26.66
270,Vila Velha,BR,2022-07-25 18:17:00,-20.3297,-40.2925,78.75,74,75,10.36
271,Shitanjing,CN,2022-07-25 18:17:00,39.2342,106.3439,78.22,35,25,5.59
272,Gornopravdinsk,RU,2022-07-25 18:13:56,60.05,69.9,61.41,76,62,3.91
273,Plettenberg Bay,ZA,2022-07-25 18:18:01,-34.0527,23.3716,57.43,65,0,7.96
274,Beloomut,RU,2022-07-25 18:18:02,54.9448,39.3394,65.75,90,93,3.65
275,Tessalit,ML,2022-07-25 18:18:03,20.1986,1.0114,103.96,13,20,12.08
276,Faanui,PF,2022-07-25 18:18:03,-16.4833,-151.75,77.09,78,69,8.1
277,Ribeira Grande,PT,2022-07-25 18:18:04,38.5167,-28.7,79.2,78,40,10.36
278,Fort Nelson,CA,2022-07-25 18:15:49,58.8053,-122.7002,72.99,46,75,8.05
279,Norman Wells,CA,2022-07-25 18:18:05,65.282,-126.8329,69.84,46,75,8.05
280,Ust-Nera,RU,2022-07-25 18:18:05,64.5667,143.2,59.77,59,95,3.62
281,Matara,LK,2022-07-25 18:18:06,5.9485,80.5353,77.68,91,100,9.75
282,Varkaus,FI,2022-07-25 18:16:20,62.3153,27.873,68.31,66,99,5.88
283,Ahipara,NZ,2022-07-25 18:18:06,-35.1667,173.1667,56.8,86,37,20.83
284,Petropavlovsk-Kamchatskiy,RU,2022-07-25 18:18:07,53.0452,158.6483,52.39,100,75,2.24
285,Constitucion,CL,2022-07-25 18:18:07,-35.3333,-72.4167,55.38,80,99,23.47
286,Prabumulih,ID,2022-07-25 18:18:08,-3.45,104.25,73.15,98,100,3.15
