City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
302,Digha,IN,81.72,overcast clouds,21.6833,87.55,Khoniker Atithi
303,Goderich,CA,73.9,few clouds,43.7501,-81.7165,Harmony Inn
304,Asau,RO,70.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
307,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
309,Wajir,KE,71.19,scattered clouds,1.7471,40.0573,Mahatallah Hotel
310,Domoni,KM,74.01,few clouds,-12.2569,44.5319,Al Djadid
311,Alappuzha,IN,78.01,overcast clouds,9.49,76.3264,Panoramic Sea Resort
313,State College,US,74.71,scattered clouds,40.7934,-77.86,Hampton Inn State College
314,Tura,IN,72.03,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
315,El Silencio,VE,72.45,scattered clouds,10.5,-66.9167,Hotel Alex
319,Preobrazheniye,RU,75.09,overcast clouds,42.9019,133.9064,Campsite Orlan
321,Sarkand,KZ,71.28,broken clouds,45.41,79.9186,Гостиница Сарканд
322,Santa Isabel Do Rio Negro,BR,73.74,broken clouds,-0.4139,-65.0192,Hotel GSA
328,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
332,Los Llanos De Aridane,ES,74.95,clear sky,28.6585,-17.9182,Valle Aridane
335,Grajau,BR,79.77,overcast clouds,-5.8194,-46.1386,Hotel Confiança
336,Port Moresby,PG,80.02,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
338,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
340,Ninghai,CN,83.62,clear sky,29.2892,121.4247,Kaiyuan New Century Hotel
343,Fougamou,GA,70.83,broken clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
345,Karia,NG,77.22,light rain,11.7306,11.1629,Kasakchiya Luxury Suites
348,Iralaya,HN,79.79,broken clouds,15.0,-83.2333,Iglesia morava renovada
350,Grand-Santi,GF,74.34,heavy intensity rain,4.25,-54.3833,Hotel La Villa Couacou
351,Lagoa,PT,73.09,scattered clouds,39.05,-27.9833,Casa Das Faias
353,Brejo Santo,BR,77.23,overcast clouds,-7.4933,-38.9872,Hotel Flor de Lis
358,Sao Joao Da Barra,BR,70.3,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
361,Yunyang,CN,79.81,broken clouds,33.4474,112.7142,Post & Telecom Hotel
364,Asheville,US,77.97,broken clouds,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
366,Cockburn Town,TC,82.13,clear sky,21.4612,-71.1419,Osprey Beach Hotel
368,Balakhninskiy,RU,72.05,broken clouds,58.0106,114.2769,
