City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
294,Sur,OM,22.5667,59.5289,81.01,77,59,15.59,broken clouds
295,Weiser,US,44.251,-116.9693,105.31,17,0,8.97,clear sky
296,Muros,ES,42.7762,-9.0603,64.09,80,4,11.36,clear sky
297,Kewanee,US,41.2456,-89.9248,75.43,84,99,7.56,overcast clouds
298,Qaqortoq,GL,60.7167,-46.0333,43.75,90,23,1.28,few clouds
299,Changji,CN,44.0167,87.3167,79.59,31,0,4.47,clear sky
300,Balakovo,RU,52.0278,47.8007,64.71,83,10,4.9,clear sky
301,Lasa,IT,46.6166,10.7002,67.08,91,69,1.83,broken clouds
302,Digha,IN,21.6833,87.55,81.72,82,95,6.04,overcast clouds
303,Goderich,CA,43.7501,-81.7165,73.9,46,18,4.61,few clouds
304,Asau,RO,46.4333,26.4,70.95,76,0,4.27,clear sky
305,Te Anau,NZ,-45.4167,167.7167,43.09,95,100,2.95,overcast clouds
306,Saint-Francois,FR,46.4154,3.9054,60.24,72,0,3.44,clear sky
307,Gat,IL,31.61,34.7642,78.4,61,0,3.91,clear sky
308,Litovko,RU,49.2361,135.1742,64.42,93,97,2.51,moderate rain
309,Wajir,KE,1.7471,40.0573,71.19,69,29,14.65,scattered clouds
310,Domoni,KM,-12.2569,44.5319,74.01,80,11,8.86,few clouds
311,Alappuzha,IN,9.49,76.3264,78.01,88,97,9.82,overcast clouds
312,Peleduy,RU,59.6289,112.7406,67.03,71,44,6.58,scattered clouds
313,State College,US,40.7934,-77.86,74.71,70,40,5.75,scattered clouds
314,Tura,IN,25.5198,90.2201,72.03,92,48,2.71,scattered clouds
315,El Silencio,VE,10.5,-66.9167,72.45,89,40,5.75,scattered clouds
316,Burnie,AU,-41.0667,145.9167,48.94,68,12,8.05,few clouds
317,Pisco,PE,-13.7,-76.2167,60.85,88,20,9.22,mist
318,Byron Bay,AU,-28.65,153.6167,58.71,48,0,11.88,clear sky
319,Preobrazheniye,RU,42.9019,133.9064,75.09,76,99,1.72,overcast clouds
320,Inhambane,MZ,-23.865,35.3833,62.24,73,0,3.38,clear sky
321,Sarkand,KZ,45.41,79.9186,71.28,28,81,5.59,broken clouds
322,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.74,97,59,1.01,broken clouds
323,Tehachapi,US,35.1322,-118.449,94.42,23,6,11.99,clear sky
324,Hovd,MN,48.0056,91.6419,60.84,37,4,2.01,clear sky
325,Bozoum,CF,6.3193,16.3799,68.94,93,100,3.11,overcast clouds
326,San Patricio,US,28.017,-97.5169,90.84,50,61,16.42,broken clouds
327,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,2.3,broken clouds
328,Salalah,OM,17.0151,54.0924,75.29,100,100,10.36,light intensity drizzle
329,Sitka,US,57.0531,-135.33,62.49,82,100,4.61,overcast clouds
330,Alekseyevka,RU,50.6309,38.6903,61.79,84,61,2.13,broken clouds
331,Trelew,AR,-43.249,-65.3051,44.98,95,100,7.49,light rain
332,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,50,0,12.66,clear sky
333,Mosquera,CO,4.7059,-74.2302,57.29,88,100,3.44,light intensity drizzle
334,Uvinza,TZ,-5.1036,30.3911,65.35,62,32,2.84,scattered clouds
335,Grajau,BR,-5.8194,-46.1386,79.77,41,89,4.97,overcast clouds
336,Port Moresby,PG,-9.4431,147.1797,80.02,76,93,6.17,overcast clouds
337,Huarmey,PE,-10.0681,-78.1522,63.23,85,71,10.71,broken clouds
338,Santa Cruz,BO,-17.8,-63.1667,76.46,78,63,4.61,broken clouds
339,Maxixe,MZ,-23.8597,35.3472,60.85,75,0,2.89,clear sky
340,Ninghai,CN,29.2892,121.4247,83.62,71,5,2.57,clear sky
341,Usolye,RU,59.4268,56.6808,49.48,75,37,5.3,scattered clouds
342,Saint George,US,37.1041,-113.5841,96.8,30,0,5.75,clear sky
343,Fougamou,GA,-1.2154,10.5838,70.83,85,79,2.44,broken clouds
344,Haines Junction,CA,60.7522,-137.5108,69.75,37,75,17.27,broken clouds
345,Karia,NG,11.7306,11.1629,77.22,78,100,14.18,light rain
346,Norrtalje,SE,59.758,18.705,61.84,81,10,9.01,clear sky
347,Revuca,SK,48.6835,20.1173,54.57,95,51,5.37,broken clouds
348,Iralaya,HN,15.0,-83.2333,79.79,83,78,9.33,broken clouds
